Ano,Bandeira,Valor de Venda
2017,POTENCIAL,2.94059375
2017,RAIZEN,3.077442794279428
2017,RAIZEN MIME,3.077882154882155
2017,RIO BRANCO,3.1164752851711026
2017,ROYAL FIC,3.26375
2017,SABBÁ,3.261767958950969
2017,SIMARELLI,3.519228971962617
2017,SP,3.1559916367980887
2017,TAURUS,3.3699077380952382
2017,WALENDOWSKY,2.9278
2018,ALESAT,3.536070161711007
2018,ATEM' S,3.582149653121903
2018,BRANCA,3.4498886306306304
2018,CHARRUA,3.480153846153846
2018,CIAPETRO,3.379243377483444
2018,DIBRAPE,3.2322884615384617
2018,DISLUB,3.488779411764706
2018,EQUADOR,3.7313855585831064
2018,IDAZA,3.6011019607843133
2018,IPIRANGA,3.5154694644411046
2018,LARCO,3.3572631578947365
2018,PETROBAHIA,3.5103573770491807
2018,POTENCIAL,3.330452380952381
2018,RAIZEN,3.479005666607175
2018,RAIZEN MIME,3.3708092105263163
2018,RIO BRANCO,3.5367083333333333
2018,ROYAL FIC,3.580444444444444
2018,SABBÁ,3.675248062015504
2018,SIMARELLI,3.919195918367347
2018,SP,3.5703465346534657
2018,TAURUS,3.5496183035714286
2018,WALENDOWSKY,3.4215
2019,ALESAT,3.6241060770482907
2019,ATEM' S,3.769232427366448
2019,BRANCA,3.5299779194058316
2019,CHARRUA,3.536508241758242
2019,CIAPETRO,3.514452083333333
2019,DIBRAPE,3.3692156862745097
2019,DISLUB,3.81484
2019,EQUADOR,3.910960544217687
2019,IDAZA,3.7283283582089553
2019,IPIRANGA,3.624376933895921
2019,LARCO,3.4938363636363636
2019,PETROBAHIA,3.654937799043062
2019,POTENCIAL,3.3868133333333335
2019,RAIZEN,3.5835485143066763
2019,RAIZEN MIME,3.4888609179415857
2019,RIO BRANCO,3.6854980988593153
2019,ROYAL FIC,3.589588235294118
2019,SABBÁ,3.870112762237762
2019,SIMARELLI,3.92429702970297
2019,SP,3.7826465863453818
2019,TAURUS,3.6174122621564484
2019,WALENDOWSKY,3.420294117647059
2020,ALESAT,3.440985103880831
2020,ATEM' S,3.5983839611178614
2020,BRANCA,3.3483929289955348
2020,CHARRUA,3.334711743772242
2020,CIAPETRO,3.259812865497076
2020,DIBRAPE,3.239888888888889
2020,DISLUB,3.547441860465116
2020,EQUADOR,3.7231138996139
2020,IDAZA,3.4772857142857143
2020,IPIRANGA,3.445683268662767
2020,LARCO,3.341986301369863
2020,PETROBAHIA,3.564327731092437
2020,POTENCIAL,3.3392089552238806
